MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
04/14/2024 - BOS vs. WAS,1,240,132,51,89,57.3,16,32,50.0,14,21,66.7,10,38,48,29,10,15,14,13
04/12/2024 - BOS vs. CHA,1,240,131,54,104,51.9,14,41,34.1,9,13,69.2,16,37,53,34,12,1,6,20
04/11/2024 - BOS vs. NYK,0,240,109,40,86,46.5,16,42,38.1,13,16,81.3,10,26,36,25,7,12,12,16
04/09/2024 - BOS @ MIL,0,240,91,37,93,39.8,17,52,32.7,0,0,0.0,12,26,38,27,11,4,12,8
04/07/2024 - BOS vs. POR,1,240,124,49,87,56.3,16,38,42.1,10,13,76.9,5,35,40,34,11,8,12,12
04/05/2024 - BOS vs. SAC,1,240,101,38,89,42.7,12,44,27.3,13,18,72.2,12,39,51,25,6,4,7,11
04/03/2024 - BOS vs. OKC,1,240,135,50,92,54.3,17,40,42.5,18,19,94.7,11,35,46,33,7,10,10,18
04/01/2024 - BOS @ CHA,1,240,118,43,89,48.3,19,53,35.8,13,16,81.3,11,40,51,28,3,3,10,15
03/30/2024 - BOS @ NOP,1,240,104,39,82,47.6,15,37,40.5,11,12,91.7,8,43,51,27,7,7,12,13
03/28/2024 - BOS @ ATL,0,265,122,45,94,47.9,14,36,38.9,18,21,85.7,9,34,43,28,7,6,12,15
03/25/2024 - BOS @ ATL,0,240,118,47,95,49.5,11,38,28.9,13,19,68.4,12,26,38,21,7,8,7,16
03/23/2024 - BOS @ CHI,1,240,124,44,86,51.2,21,48,43.8,15,17,88.2,12,29,41,28,5,3,12,9
03/22/2024 - BOS @ DET,1,240,129,47,89,52.8,16,45,35.6,19,27,70.4,8,27,35,31,9,5,7,15
03/20/2024 - BOS vs. MIL,1,240,122,40,85,47.1,18,40,45.0,24,29,82.8,11,26,37,25,6,5,9,18
03/18/2024 - BOS vs. DET,1,240,119,43,95,45.3,22,49,44.9,11,13,84.6,15,38,53,30,8,8,9,9
03/17/2024 - BOS @ WAS,1,240,130,43,87,49.4,24,50,48.0,20,24,83.3,12,31,43,30,9,6,14,17
03/14/2024 - BOS vs. PHX,1,240,127,47,89,52.8,25,50,50.0,8,11,72.7,6,27,33,31,12,5,8,13
03/12/2024 - BOS @ UTA,1,240,123,43,92,46.7,20,49,40.8,17,19,89.5,14,32,46,25,5,8,8,14
03/11/2024 - BOS @ POR,1,240,121,49,100,49.0,15,40,37.5,8,12,66.7,14,31,45,34,7,10,3,11
03/09/2024 - BOS @ PHX,1,240,117,46,94,48.9,15,39,38.5,10,13,76.9,13,30,43,29,7,4,12,12
03/07/2024 - BOS @ DEN,0,240,109,41,91,45.1,11,38,28.9,16,25,64.0,13,34,47,24,6,3,12,18
03/05/2024 - BOS @ CLE,0,240,104,39,93,41.9,15,38,39.5,11,12,91.7,14,39,53,24,6,9,13,13
03/03/2024 - BOS vs. GSW,1,240,140,53,96,55.2,25,49,51.0,9,11,81.8,7,44,51,35,10,5,7,19
03/01/2024 - BOS vs. DAL,1,240,138,52,94,55.3,21,43,48.8,13,13,100,9,38,47,33,4,8,9,15
02/27/2024 - BOS vs. PHI,1,240,117,39,74,52.7,5,22,22.7,34,37,91.9,9,47,56,21,7,9,14,16
02/24/2024 - BOS @ NYK,1,240,116,46,81,56.8,15,35,42.9,9,12,75.0,11,25,36,27,8,4,7,16
02/22/2024 - BOS @ CHI,1,240,129,45,83,54.2,23,47,48.9,16,21,76.2,5,31,36,27,10,11,13,16
02/14/2024 - BOS vs. BKN,1,240,136,52,91,57.1,22,45,48.9,10,12,83.3,10,41,51,32,6,5,8,13
02/13/2024 - BOS @ BKN,1,240,118,43,83,51.8,15,37,40.5,17,23,73.9,7,32,39,31,6,1,13,24
02/11/2024 - BOS @ MIA,1,240,110,41,81,50.6,16,39,41.0,12,17,70.6,6,36,42,27,1,9,9,13
02/09/2024 - BOS vs. WAS,1,240,133,48,92,52.2,11,34,32.4,26,28,92.9,9,40,49,25,9,5,13,17
02/07/2024 - BOS vs. ATL,1,240,125,49,93,52.7,17,49,34.7,10,11,90.9,6,39,45,33,6,9,14,16
02/04/2024 - BOS vs. MEM,1,240,131,48,99,48.5,19,51,37.3,16,18,88.9,17,40,57,30,12,4,10,13
02/01/2024 - BOS vs. LAL,0,240,105,41,97,42.3,16,48,33.3,7,7,100,14,40,54,30,4,12,15,19
01/30/2024 - BOS vs. IND,1,240,129,47,87,54.0,17,36,47.2,18,22,81.8,7,33,40,25,6,9,10,16
01/29/2024 - BOS vs. NOP,1,240,118,43,85,50.6,17,46,37.0,15,20,75.0,6,34,40,27,7,5,11,15
01/27/2024 - BOS vs. LAC,0,240,96,36,100,36.0,10,40,25.0,14,16,87.5,18,34,52,21,2,9,11,13
01/25/2024 - BOS @ MIA,1,240,143,51,80,63.8,22,40,55.0,19,20,95.0,6,41,47,36,4,5,11,10
01/22/2024 - BOS @ DAL,1,240,119,41,88,46.6,15,46,32.6,22,30,73.3,5,39,44,26,7,8,6,20
01/21/2024 - BOS @ HOU,1,240,116,43,98,43.9,17,47,36.2,13,18,72.2,16,39,55,31,10,12,16,17
01/19/2024 - BOS vs. DEN,0,240,100,38,89,42.7,14,44,31.8,10,14,71.4,12,26,38,21,5,2,2,17
01/17/2024 - BOS vs. SAS,1,240,117,42,90,46.7,18,38,47.4,15,19,78.9,12,42,54,22,5,6,12,15
01/15/2024 - BOS @ TOR,1,240,105,33,82,40.2,16,39,41.0,23,25,92.0,5,48,53,20,3,7,12,16
01/13/2024 - BOS vs. HOU,1,240,145,51,95,53.7,24,47,51.1,19,25,76.0,10,40,50,26,7,8,11,21
01/11/2024 - BOS @ MIL,0,240,102,34,91,37.4,9,35,25.7,25,30,83.3,6,25,31,22,5,5,6,13
01/10/2024 - BOS vs. MIN,1,265,127,39,90,43.3,19,47,40.4,30,31,96.8,7,39,46,21,5,4,8,19
01/08/2024 - BOS @ IND,0,240,131,47,90,52.2,17,35,48.6,20,29,69.0,13,29,42,26,3,8,15,20
01/06/2024 - BOS @ IND,1,240,118,46,90,51.1,16,41,39.0,10,19,52.6,13,43,56,26,6,6,17,20
01/05/2024 - BOS vs. UTA,1,240,126,39,90,43.3,17,49,34.7,31,36,86.1,9,47,56,24,9,8,12,23
01/02/2024 - BOS @ OKC,0,240,123,42,92,45.7,15,40,37.5,24,29,82.8,17,30,47,33,7,10,14,15
