MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
04/09/2023 - BOS vs. ATL,1,240,120,42,89,47.2,25,54,46.3,11,14,78.6,12,35,47,33,5,3,15,13
04/07/2023 - BOS vs. TOR,1,240,121,45,81,55.6,15,44,34.1,16,21,76.2,13,40,53,37,4,7,19,14
04/05/2023 - BOS vs. TOR,1,240,97,38,89,42.7,11,38,28.9,10,18,55.6,11,37,48,20,5,7,15,14
04/04/2023 - BOS @ PHI,0,240,101,38,91,41.8,15,45,33.3,10,16,62.5,13,30,43,28,4,4,8,17
03/31/2023 - BOS vs. UTA,1,240,122,42,96,43.8,17,51,33.3,21,22,95.5,10,32,42,27,8,4,11,14
03/30/2023 - BOS @ MIL,1,240,140,51,91,56.0,22,43,51.2,16,20,80.0,7,40,47,28,8,5,8,18
03/28/2023 - BOS @ WAS,0,240,111,45,93,48.4,11,44,25.0,10,11,90.9,7,31,38,29,5,8,12,14
03/26/2023 - BOS vs. SAS,1,240,137,52,91,57.1,18,44,40.9,15,21,71.4,9,52,61,29,4,11,14,18
03/24/2023 - BOS vs. IND,1,240,120,44,93,47.3,18,42,42.9,14,19,73.7,9,40,49,28,11,6,14,15
03/21/2023 - BOS @ SAC,1,240,132,49,92,53.3,18,44,40.9,16,23,69.6,11,32,43,33,9,3,5,15
03/18/2023 - BOS @ UTA,0,240,117,42,88,47.7,22,51,43.1,11,16,68.8,5,35,40,30,2,2,6,17
03/17/2023 - BOS @ POR,1,240,126,41,87,47.1,15,42,35.7,29,35,82.9,18,34,52,29,12,2,16,19
03/15/2023 - BOS @ MIN,1,240,104,34,84,40.5,12,40,30.0,24,30,80.0,8,36,44,20,7,5,9,22
03/13/2023 - BOS @ HOU,0,240,109,39,87,44.8,12,42,28.6,19,21,90.5,10,28,38,19,7,5,13,22
03/11/2023 - BOS @ ATL,1,240,134,52,95,54.7,20,42,47.6,10,12,83.3,5,35,40,35,6,6,8,21
03/08/2023 - BOS vs. POR,1,240,115,42,88,47.7,18,49,36.7,13,20,65.0,5,40,45,26,9,2,10,20
03/06/2023 - BOS @ CLE,0,265,114,42,101,41.6,16,48,33.3,14,21,66.7,15,37,52,25,5,5,12,21
03/05/2023 - BOS vs. NYK,0,290,129,43,109,39.4,21,59,35.6,22,25,88.0,17,37,54,27,8,5,16,28
03/03/2023 - BOS vs. BKN,0,240,105,41,84,48.8,9,29,31.0,14,20,70.0,9,39,48,26,8,8,19,19
03/01/2023 - BOS vs. CLE,1,240,117,39,78,50.0,16,32,50.0,23,28,82.1,7,36,43,27,5,4,12,18
02/27/2023 - BOS @ NYK,0,240,94,37,84,44.0,9,42,21.4,11,14,78.6,7,28,35,21,5,8,11,22
02/25/2023 - BOS @ PHI,1,240,110,43,86,50.0,16,36,44.4,8,12,66.7,9,35,44,20,6,4,12,22
02/23/2023 - BOS @ IND,1,265,142,51,99,51.5,18,39,46.2,22,26,84.6,20,31,51,31,7,6,15,18
02/15/2023 - BOS vs. DET,1,240,127,49,92,53.3,21,45,46.7,8,10,80.0,8,35,43,30,10,5,11,18
02/14/2023 - BOS @ MIL,0,265,125,46,99,46.5,17,50,34.0,16,20,80.0,8,36,44,28,8,1,13,26
02/12/2023 - BOS vs. MEM,1,240,119,39,88,44.3,21,51,41.2,20,26,76.9,15,40,55,28,5,3,10,14
02/10/2023 - BOS vs. CHA,1,240,127,44,89,49.4,25,55,45.5,14,17,82.4,5,38,43,34,7,7,15,22
02/08/2023 - BOS vs. PHI,1,240,106,40,76,52.6,19,35,54.3,7,10,70.0,5,39,44,25,2,5,13,19
02/06/2023 - BOS @ DET,1,240,111,39,83,47.0,16,37,43.2,17,21,81.0,10,41,51,25,2,5,11,22
02/03/2023 - BOS vs. PHX,0,240,94,29,75,38.7,10,38,26.3,26,31,83.9,3,40,43,18,5,3,14,21
02/01/2023 - BOS vs. BKN,1,240,139,53,92,57.6,26,54,48.1,7,10,70.0,11,46,57,28,4,4,10,13
01/28/2023 - BOS vs. LAL,1,265,125,39,84,46.4,13,40,32.5,34,39,87.2,7,39,46,18,8,9,12,22
01/26/2023 - BOS vs. NYK,0,265,117,41,100,41.0,16,46,34.8,19,23,82.6,15,39,54,22,4,4,13,19
01/24/2023 - BOS @ MIA,0,240,95,32,74,43.2,10,32,31.3,21,27,77.8,5,39,44,21,5,6,17,22
01/23/2023 - BOS @ ORL,0,240,98,36,83,43.4,18,46,39.1,8,11,72.7,8,29,37,24,5,4,18,23
01/21/2023 - BOS @ TOR,1,240,106,38,85,44.7,16,35,45.7,14,15,93.3,11,30,41,25,9,8,15,17
01/19/2023 - BOS vs. GSW,1,265,121,43,108,39.8,13,41,31.7,22,30,73.3,18,45,63,21,10,5,17,19
01/16/2023 - BOS @ CHA,1,240,130,43,87,49.4,20,43,46.5,24,25,96.0,14,33,47,34,1,4,11,21
01/14/2023 - BOS @ CHA,1,240,122,47,99,47.5,19,53,35.8,9,10,90.0,14,32,46,35,8,4,7,15
01/12/2023 - BOS @ BKN,1,240,109,41,86,47.7,12,36,33.3,15,17,88.2,12,36,48,23,4,6,13,15
01/11/2023 - BOS vs. NOP,1,240,125,44,91,48.4,15,44,34.1,22,25,88.0,11,39,50,24,7,5,9,16
01/09/2023 - BOS vs. CHI,1,240,107,38,87,43.7,11,41,26.8,20,21,95.2,9,41,50,25,2,7,9,12
01/07/2023 - BOS @ SAS,1,240,121,47,95,49.5,15,34,44.1,12,18,66.7,8,35,43,30,6,10,14,15
01/05/2023 - BOS @ DAL,1,240,124,41,84,48.8,16,43,37.2,26,31,83.9,10,42,52,29,6,8,11,22
01/03/2023 - BOS @ OKC,0,240,117,40,88,45.5,12,40,30.0,25,31,80.6,11,27,38,29,4,7,17,15
01/01/2023 - BOS @ DEN,0,240,111,40,87,46.0,9,33,27.3,22,27,81.5,10,31,41,30,8,3,13,15
12/29/2022 - BOS vs. LAC,1,240,116,44,91,48.4,11,39,28.2,17,22,77.3,11,38,49,22,3,7,11,17
12/27/2022 - BOS vs. HOU,1,240,126,43,91,47.3,20,56,35.7,20,23,87.0,9,40,49,32,8,5,10,14
12/25/2022 - BOS vs. MIL,1,240,139,50,85,58.8,19,39,48.7,20,25,80.0,5,30,35,29,9,1,11,18
12/23/2022 - BOS vs. MIN,1,240,121,44,100,44.0,13,46,28.3,20,26,76.9,20,33,53,28,9,6,11,16
